UNIQUE ID KEY;DEFAULT ENGLISH;TRANSLATION FOREIGN LANGUAGE
tabsheets_module_explanation_Manage webpage statusses;Manage webpage statusses;Manage webpage statusses
Mod_BobPageBuilder;Page builder;Page builder
list_column_bIsDefault;Default;Default
tab_title_statusses;Web page statusses;Web page statusses
form_field_name;Name;Name
form_field_isdefault;Is default;Is default
pagetitle_detailsave_statusses_new;Create new status;Create new status
Mod_PageBuilder;Page builder;Page builder
pagetitle_detailsave_settings;Settings page builder;Settings page builder
list_column_sWebsiteName;Website;Website
pagetitle_detailsave_statusses_edit;Edit status: [name];Edit status: [name]
menuitem_modulename;Page builder;Page builder
